title,year,rating,watched_date
Everything Everywhere All at Once,2022,6,2024-01-03
Iron Man 3,2013,5,2024-01-06
Fargo,1996,5,2024-01-23
Thor: The Dark World,2013,6,2024-01-30
Captain America: The Winter Soldier,2014,5,2024-01-30
Moon,2009,6,2024-02-07
"Three Billboards Outside Ebbing, Missouri",2017,8,2024-02-12
In Bruges,2008,7,2024-02-20
The Batman,2022,8,2024-02-24
Shaun of the Dead,2004,4,2024-02-24
Dune: Part Two,2024,8,2024-02-28
The Gentlemen,2019,6,2024-03-02
Fight Club,1999,9,2024-03-02
What We Do in the Shadows,2014,7,2024-03-03
Ex Machina,2015,7,2024-03-03
Beyond the Infinite Two Minutes,2020,7,2024-03-10
Safety Not Guaranteed,2012,6,2024-03-11
The Wonderful Story of Henry Sugar,2023,7,2024-03-12
Donnie Darko,2001,9,2024-03-14
Blade Runner 2049,2017,5,2024-03-23
GoodFellas,1990,8,2024-03-25
Groundhog Day,1993,9,2024-03-27
Edge of Tomorrow,2014,6,2024-03-27
Godzilla vs. Kong,2021,3,2024-04-02
Jojo Rabbit,2019,8,2024-04-08
The Lobster,2015,6,2024-04-18
A Ghost Story,2017,5,2024-04-20
Se7en,1995,7,2024-04-22
Zodiac,2007,6,2024-04-28
Shame,2011,7,2024-05-01
Amélie,2001,7,2024-05-01
Moonrise Kingdom,2012,7,2024-05-04
The Fifth Element,1997,4,2024-05-06
A Scanner Darkly,2006,5,2024-05-11
Palm Springs,2020,8,2024-05-14
The Prestige,2006,6,2024-05-16
Interstellar,2014,10,2024-05-18
Eternal Sunshine of the Spotless Mind,2004,7,2024-05-19
Ruby Sparks,2012,7,2024-05-19
Coherence,2013,8,2024-05-19
Good Will Hunting,1997,8,2024-05-24
Carnage,2011,6,2024-05-24
Being John Malkovich,1999,8,2024-05-26
Burn After Reading,2008,6,2024-05-27
Lost in Translation,2003,8,2024-05-27
Paterson,2016,5,2024-05-28
The Secret Life of Walter Mitty,2013,4,2024-05-29
The Big Lebowski,1998,8,2024-05-31
Dream Scenario,2023,7,2024-06-02
Drive,2011,5,2024-06-03
Blue Valentine,2010,6,2024-06-08
The Man Who Knew Infinity,2015,9,2024-06-08
Tenet,2020,7,2024-06-08
Anchorman: The Legend of Ron Burgundy,2004,6,2024-06-11
Before Sunrise,1995,9,2024-06-15
American Fiction,2023,8,2024-06-15
The Fall Guy,2024,6,2024-06-17
V for Vendetta,2005,4,2024-06-23
Pineapple Express,2008,6,2024-06-24
This Is the End,2013,5,2024-06-28
Gravity,2013,8,2024-06-29
The Godfather,1972,8,2024-07-01
The Shawshank Redemption,1994,9,2024-07-04
Snatch,2000,5,2024-07-06
Now You See Me,2013,7,2024-07-07
Mystic River,2003,8,2024-07-12
Pulp Fiction,1994,7,2024-07-14
Gone Baby Gone,2007,5,2024-07-18
The Spectacular Now,2013,5,2024-07-20
Twelve Monkeys,1995,8,2024-07-23
Predestination,2014,9,2024-07-26
No Strings Attached,2011,6,2024-07-27
Lost Highway,1997,3,2024-07-28
Children of Men,2006,8,2024-08-04
The Butterfly Effect,2004,8,2024-08-05
Eyes Wide Shut,1999,7,2024-08-06
(500) Days of Summer,2009,7,2024-08-10
Ed Wood,1994,7,2024-08-10
Requiem for a Dream,2000,9,2024-08-12
Kiss Kiss Bang Bang,2005,5,2024-08-15
The Shining,1980,8,2024-08-18
Citizen Kane,1941,7,2024-08-22
American Beauty,1999,7,2024-08-25
Cast Away,2000,8,2024-08-25
The Usual Suspects,1995,6,2024-08-26
Vertigo,1958,9,2024-08-27
Insomnia,2002,6,2024-08-29
Before Sunset,2004,9,2024-08-31
Thank You for Smoking,2005,8,2024-09-01
"I Love You, Man",2009,3,2024-09-06
L.A. Confidential,1997,9,2024-09-07
Psycho,1960,8,2024-09-08
2001: A Space Odyssey,1968,8,2024-09-08
Jurassic Park,1993,10,2024-09-09
The Lost World: Jurassic Park,1997,10,2024-09-09
Jurassic Park III,2001,9,2024-09-09
Jurassic World,2015,10,2024-09-10
Jurassic World: Fallen Kingdom,2018,10,2024-09-10
Jurassic World Dominion,2022,10,2024-09-11
The Descendants,2011,6,2024-09-15
The Italian Job,2003,7,2024-09-15
Whiplash,2014,7,2024-09-16
Speak No Evil,2022,3,2024-09-20
Eden Lake,2008,4,2024-09-20
Fracture,2007,9,2024-09-24
Once Upon a Time... in Hollywood,2019,7,2024-09-26
Borat Subsequent Moviefilm,2020,8,2024-09-29
The Machinist,2004,8,2024-10-03
The Ministry of Ungentlemanly Warfare,2024,8,2024-10-06
Bullet Train,2022,6,2024-10-09
Challengers,2024,6,2024-10-10
Barbie,2023,5,2024-10-12
The Terminal,2004,9,2024-10-15
The Godfather Part II,1974,8,2024-10-20
The Spanish Prisoner,1997,8,2024-10-25
