Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2024-08-25,Everything Everywhere All at Once,2022,https://boxd.it/7aKqhF,3,,,2024-01-03
2024-08-25,Iron Man 3,2013,https://boxd.it/7aKqW9,2.5,,,2024-01-06
2024-08-25,Fargo,1996,https://boxd.it/7aKrDR,2.5,,,2024-01-23
2024-08-25,Thor: The Dark World,2013,https://boxd.it/7aKscd,3,,,2024-01-30
2024-08-25,Captain America: The Winter Soldier,2014,https://boxd.it/7aKtCV,2.5,,,2024-01-30
2024-08-25,Moon,2009,https://boxd.it/7aKv3D,3,,,2024-02-07
2024-08-25,"Three Billboards Outside Ebbing, Missouri",2017,https://boxd.it/7aKvBb,4,,,2024-02-12
2024-08-25,In Bruges,2008,https://boxd.it/7aKwqN,3.5,,,2024-02-20
2024-08-25,The Batman,2022,https://boxd.it/7aKx7R,4,,,2024-02-24
2024-08-25,Shaun of the Dead,2004,https://boxd.it/7aKxyX,2,,,2024-02-24
2024-08-25,Dune: Part Two,2024,https://boxd.it/7aKy2j,4,,,2024-02-28
2024-08-25,The Gentlemen,2019,https://boxd.it/7aKywt,3,,,2024-03-02
2024-08-25,Fight Club,1999,https://boxd.it/7aKz25,4.5,,,2024-03-02
2024-08-25,What We Do in the Shadows,2014,https://boxd.it/7aKzuj,3.5,,,2024-03-03
2024-08-25,Ex Machina,2015,https://boxd.it/7aKzUh,3.5,,,2024-03-03
2024-08-25,Beyond the Infinite Two Minutes,2020,https://boxd.it/7aKBdf,3.5,,,2024-03-10
2024-08-25,Safety Not Guaranteed,2012,https://boxd.it/7aKBEF,3,,,2024-03-11
2024-08-25,The Wonderful Story of Henry Sugar,2023,https://boxd.it/7aKC5V,3.5,,,2024-03-12
2024-08-25,Donnie Darko,2001,https://boxd.it/7aKCPJ,4.5,,,2024-03-14
2024-08-25,Blade Runner 2049,2017,https://boxd.it/7aKDgP,2.5,,,2024-03-23
2024-08-25,GoodFellas,1990,https://boxd.it/7aKDFv,4,,,2024-03-25
2024-08-25,Groundhog Day,1993,https://boxd.it/7aKE7f,4.5,,,2024-03-27
2024-08-25,Edge of Tomorrow,2014,https://boxd.it/7aKFvd,3,,,2024-03-27
2024-08-25,Godzilla vs. Kong,2021,https://boxd.it/7aKFWN,1.5,,,2024-04-02
2024-08-25,Jojo Rabbit,2019,https://boxd.it/7aKGuZ,4,,,2024-04-08
2024-08-25,The Lobster,2015,https://boxd.it/7aKGY1,3,,,2024-04-18
2024-08-25,A Ghost Story,2017,https://boxd.it/7aKHnv,2.5,,,2024-04-20
2024-08-25,Se7en,1995,https://boxd.it/7aKHOh,3.5,,,2024-04-22
2024-08-25,Zodiac,2007,https://boxd.it/7aKIlP,3,,,2024-04-28
2024-08-25,Shame,2011,https://boxd.it/7aKIUb,3.5,,,2024-05-01
2024-08-25,Amélie,2001,https://boxd.it/7aKJtb,3.5,,,2024-05-01
2024-08-25,Moonrise Kingdom,2012,https://boxd.it/7aKJYX,3.5,,,2024-05-04
2024-08-25,The Fifth Element,1997,https://boxd.it/7aKKkp,2,,,2024-05-06
2024-08-25,A Scanner Darkly,2006,https://boxd.it/7aKKRt,2.5,,,2024-05-11
2024-08-25,Palm Springs,2020,https://boxd.it/7aKLjn,4,,,2024-05-14
2024-08-25,The Prestige,2006,https://boxd.it/7aKLMz,3,,,2024-05-16
2024-08-25,Interstellar,2014,https://boxd.it/7aKMi1,5,,,2024-05-18
2024-08-25,Eternal Sunshine of the Spotless Mind,2004,https://boxd.it/7aKMJh,3.5,,,2024-05-19
2024-08-25,Ruby Sparks,2012,https://boxd.it/7aKN95,3.5,,,2024-05-19
2024-08-25,Coherence,2013,https://boxd.it/7aKNzR,4,,,2024-05-19
2024-08-25,Good Will Hunting,1997,https://boxd.it/7aKO8x,4,,,2024-05-24
2024-08-25,Carnage,2011,https://boxd.it/7aKOG5,3,,,2024-05-24
2024-08-25,Being John Malkovich,1999,https://boxd.it/7aKP4V,4,,,2024-05-26
2024-08-25,Burn After Reading,2008,https://boxd.it/7aKPBv,3,,,2024-05-27
2024-08-25,Lost in Translation,2003,https://boxd.it/7aKQ5l,4,,,2024-05-27
2024-08-25,Paterson,2016,https://boxd.it/7aKQwL,2.5,,,2024-05-28
2024-06-01,The Secret Life of Walter Mitty,2013,https://boxd.it/6ADfFN,2,,,2024-05-29
2024-06-01,The Big Lebowski,1998,https://boxd.it/6AqrZT,4,,,2024-05-31
